Rater 1,Rater 2,Rater 3
8,8,8
2,8,8
3,13,12
4,4,4
5,3,3
4,5,5
2,1,1
2,3,6
10,11,11
9,9,9
1,1,1
1,4,4
1,1,1
1,2,1
2,3,4
4,8,7
3,6,3
2,5,5
3,10,10
2,9,9
1,3,9
5,6,6
4,4,4
5,8,10
4,4,4
4,4,4
2,2,2
5,4,5
1,1,1
1,4,3
3,5,5
6,4,6
2,5,3
2,2,5
4,4,4
2,7,11
7,8,7
1,1,1
8,9,9
2,2,4
1,1,1
2,5,5
4,8,7
3,3,3
2,6,5
7,11,11
4,5,5
2,2,2
4,4,4
6,7,7
3,7,8
1,5,1
1,4,10
2,4,8
4,8,7
2,4,13
6,5,13
1,3,5
4,4,4
3,6,6
4,4,4
1,4,4
8,10,9
1,2,1
2,2,2
5,8,7
4,5,4
2,3,6
1,1,1
10,16,16
4,8,7
3,4,0
3,8,1
2,2,3
4,4,7
12,12,18
1,2,3
6,6,6
1,2,2
1,1,1
2,6,5
5,9,12
11,11,18
7,8,8
4,4,4
5,2,6
7,16,15
12,15,19
2,2,2
6,13,14
5,10,10
7,7,7
1,1,1
11,11,12
3,9,8
1,1,1
4,6,5
6,6,12
7,10,20
5,13,12
5,8,6
5,6,9
2,2,4
,,1
3,7,6
1,1,1
2,5,5
2,10,8
2,6,4
9,9,21
2,6,6
2,6,6
1,1,1
2,1,1
