Parti0ipant #,Relaxed,Aroused,Group
1,2,3,0
2,,,1
3,,,0
4,,,1
5,4,1,0
6,1,4,0
7,4,3,1
8,4,2,1
9,2,1,0
10,2,4,0
11,5,2,1
12,1,1,0
13,,,0
14,4,1,1
15,4,2,0
16,4,2,0
17,5,1,0
18,4,1,1
19,4,1,1
20,4,1,0
21,4,1,0
22,4,2,1
23,4,1,0
24,2,3,0
25,5,2,1
26,3,2,0
27,3,1,1
28,4,2,0
29,5,5,1
30,4,1,1
31,4,2,0
32,5,1,1
33,5,3,1
34,4,2,0
35,4,2,0
36,2,4,0
37,5,2,0
38,4,4,1
39,4,4,1
40,5,4,1
41,5,3,1
42,5,3,1
43,3,4,0
44,5,1,1
45,4,1,1
46,4,2,1
47,4,1,0
48,4,2,0
49,2,1,0
50,2,4,0
51,2,3,0
52,4,2,1
53,3,4,1
54,2,3,1
55,4,3,0
56,5,1,1
57,4,3,1
58,4,2,1
59,4,2,0
60,4,1,1
61,5,3,0
62,4,2,1
63,4,2,0
64,4,3,1
65,4,2,0
66,2,4,0
67,,,1
68,4,1,0
69,4,3,0
70,3,4,0
71,4,2,0
72,5,2,1
73,5,1,1
74,4,2,1
75,,,0
76,4,2,1
77,4,1,1
78,4,1,0
79,5,1,1
80,4,,0
81,5,,1
82,3,1,0
83,3,2,1
84,5,3,0
85,5,1,1
86,2,1,1
87,3,3,1
88,2,3,0
89,2,3,1
90,4,2,1
91,5,1,0
92,5,1,1
93,5,3,0
94,4,2,0
95,4,1,1
96,3,4,1
97,2,4,1
98,4,1,0
99,1,1,1
100,4,4,0
101,4,2,1
102,5,3,0
103,4,1,1
104,,,0
105,3,4,1
106,5,1,1
107,4,3,0
108,,,0
109,2,4,1
110,2,4,1
111,4,2,1
112,5,3,0
113,4,1,1
114,4,4,1
